index,frequency,type
C[C@]12CC[C@H]3[C@@H](CC,235,ionic
C4=C,35,functional_group
(Cl,209,atom
)C(=O)CC,19,functional_group
[C@@]4,1130,ionic
C)[C@@H]1CC,914,ionic
COc1ccc2,1111,ring
c3c1,818,ring
O[C@H]1C,119,ionic
[C@@H](O)C=C,450,functional_group
[C@@]3,811,ionic
CCN(C)C,439,atom
N[C@@H](CC,471,ionic
C(=O)N[C@@H](C,469,functional_group
O)C(=O)N,140,functional_group
CC(=O)O)C(=O)O,179,functional_group
CNC(=O)[C@H]1,23,functional_group
O[C@@H](,678,ionic
n2cnc3c(NC,38,atom
c4cccc(I)c4,23,atom
c(Cl)nc3,11,atom
[C@H](O)[C@@H]1O,661,ionic
O=C1CCC,14,functional_group
c2c(O),93,atom
cc(O),560,atom
c(Cl)c2,88,atom
C[C@@]1,83,ionic
c2cc(,888,atom
c3cncnc3,59,atom
)c(F)cc2,186,atom
F),1268,atom
CCSC,41,atom
COc1ccc(,1647,ring
Sc3ccccc3,359,atom
N(CCN(C)C)C(=O),148,functional_group
OC(C),1309,atom
=O)cc1,443,functional_group
Nc1cccc2,138,ring
1CC,877,atom
C(=O)N,1840,functional_group
C1=O),108,functional_group
C2=O,628,functional_group
CNC(=O)c1ccc2,10,functional_group
cc(,1382,atom
(O)CC,511,atom
n4cn,42,atom
cc4,290,atom
3)ccc2,69,atom
COC(=O),924,functional_group
CCNC(=O)c1cc(,18,functional_group
c2ccc(F)cc2,685,atom
F)cc(,56,atom
)c1O,334,ring
CCCCCCCC(=O),348,functional_group
OC[C@@H](O),190,ionic
[C@@H](OC),159,ionic
[C@@H]1OC,55,ionic
(C(=O)O),1367,functional_group
C(=N)N,412,functional_group
)[C@H]1,168,ionic
N=C(C),66,functional_group
CC(C)(C)NCC(O),525,atom
c1cc(O),645,ring
COc1cccc2c1,380,ring
CCC(=O)N,267,functional_group
CC(C)[C@H]1CC,68,ionic
[C@H](C,2494,ionic
c2ccccc2)C(=O)O),65,functional_group
OC(CC,256,atom
N1,3069,atom
CCCC1),164,ring
CCCCC1,1379,ring
[C@H]1CC,1033,ionic
c2nc(N,435,atom
)sc2C1,157,ring
CCOC,156,atom
c2nc(,215,atom
c3ccc(,1293,atom
NC(C)C,34,atom
)c(,874,atom
)cc3),162,atom
[nH]2)cc1,69,ionic
C[N+](C)(C),267,ionic
CC(=O)[O-],689,functional_group
.OC,19,atom
(O)C,1422,atom
(Cl)(Cl)Cl,91,atom
NC[C@H](O),435,ionic
c1ccc(O)c(O)c1,828,ring
[,514,ionic
8,578,atom
K,10,atom
r,228,atom
],5227,atom
COc1ccc(CC2,92,ring
