index,frequency,type
c(NS(=O)(=O),275,functional_group
)nc(,301,atom
c2ncccn2,498,atom
CC(=O)N[C@H]1,111,functional_group
2C=C,114,functional_group
[C@@](N),22,ionic
NC2=O),10,functional_group
O[C@@H]1,485,ionic
c(cc3,411,atom
[C@@H]5,760,ionic
CO[C@@H](,54,ionic
c6cccs,54,atom
6)O,65,atom
[C@H]23),115,ionic
[C@]2(O)C(=O),64,functional_group
CCC(=O)O,421,functional_group
C[C@H]1O[C@@H](O,206,ionic
[C@H](O[C@H]3,390,ionic
[C@]5(C),272,ionic
[C@H]6CC,15,ionic
[C@]7,412,ionic
=CC(=O)OC,220,functional_group
[C@@H]6CC,202,ionic
C4,392,atom
[C@@H]3C),272,ionic
=CCN,34,functional_group
CC=C,36,functional_group
COc1cc2nccc(,89,ring
c4cc(C)o,7,atom
)c(Cl)c3,61,atom
)C(=O)O)C(=O)O,180,functional_group
CC(C)(N)C,214,atom
Cc1cc2c(cc1,67,ring
[n+](,22,ionic
NC(=O)c2ccc(CN,133,functional_group
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC,161,functional_group
=C2,491,functional_group
[C@]4(C)[C@H]3[C@@H](O)C,182,ionic
Oc3ccc(Cl)cc3,223,atom
O=C1Nc2ccccc2,58,functional_group
C1=N,185,functional_group
c1nc(,367,ring
c2ccc(CN,114,atom
c3nc4ccccc4[nH],13,ionic
C(F)(F),64,atom
c2nc3ccccc3s2,20,atom
nn,141,atom
CC(=O)Oc1ccccc1,261,functional_group
C(=O)O.,33,functional_group
[Al,768,ionic
CC1=C(,12,functional_group
c2cc(Cl)cc(Cl)c2,22,atom
2CCC,861,atom
[C@]12,102,ionic
Cc1ccc(C,281,ring
#N)cc1,12,ring
[C@H](O)C(=O)N,204,functional_group
[C@@H](O[C@H]2,276,ionic
O[C@H](CN)[C@@H](O)[C@H](O),183,ionic
O[C@H](CO)[C@@H](O),1247,ionic
CCC2,302,atom
N[C@H](CC,32,ionic
6CCCC6,168,atom
)CC5,194,atom
CCC(C)(C),169,atom
C(=O)O[C@H]1C,284,functional_group
=C2C=C,227,functional_group
[C@H](C)[C@H](CC,287,ionic
[C@@H]3C[C@@H](O)CC(=O)O,191,functional_group
nsnc1,96,ring
N1CCOCC,100,atom
c2nc3c(,62,atom
C2CC,71,atom
CC1C,51,ring
sc(,93,atom
c2ccccc2)c1,554,ring
[C@@]1(C),163,ionic
[C@@H]2CC[C@@H](C,7,ionic
c3ccccc3S,1007,atom
c3ccc(Cl)cc3,752,atom
CCCCNCCCCN,7,atom
CCCCNC,14,atom
NC(=O)N1,360,functional_group
Oc1ccc(OC,4,ring
[C@@H](OP(=O)(O)O),247,functional_group
[C@H](OP(=O)(O)O),132,functional_group
O=C(CC1,21,functional_group
c2ccc(Oc3ccc(Cl)cc3,17,atom
)CCOCC,41,atom
c(O)cccc3,10,atom
oc2c1,39,ring
c(O)cccc2,22,atom
c1ncn,289,ring
2CCCC,117,atom
[C@H]2C[C@@H]3,193,ionic
c4[nH],201,ionic
cc(OC)ccc5,182,atom
CCN3C,199,atom
c2cc(OC)c(OC)c(OC)c2,274,atom
)[C@@H]1,300,ionic
O=C(Nc1ccccc1,76,functional_group
cccnc1,506,ring
c(Cl)cc1,7,ring
[C@H](NC(=O),405,functional_group
CCC(=C2,227,functional_group
c3ccccc3CC,100,atom
c3sccc3,70,atom
CC1=C2,51,functional_group
[N+]3,238,ionic
=C(C,980,functional_group
=C4,193,functional_group
[N+]5,40,ionic
=C6,40,functional_group
7,354,atom
[C@@H]8,48,ionic
[C@@]6(C)CC,47,ionic
n6,59,atom
c[n+],177,ionic
c9,61,atom
cc(C)c(C),61,atom
cc9,40,atom
n5cnc6c(N)ncn,15,atom
c6,87,atom
[C@@H]3O),152,ionic
[C@](C)(CC,40,ionic
[C@]8,55,ionic
C4(C)C),40,atom
[C@]2(C)CC,75,ionic
CC(=O)n1,11,functional_group
[C@H](O[C@@H]3,193,ionic
CCN(CC)C,139,atom
c1cc(N,170,ring
c2ccnc3cc(Cl)ccc2,66,atom
3)ccc1O,77,ring
OC2,185,atom
c3nccnc3,163,atom
c2ccc(Cl)cn2,164,atom
c1ccccc1)/,10,ring
Nc1nc(O),42,ring
)c(O)n1,41,ring
CN(CC(=O)O),77,functional_group
P(=O)(O)O),838,functional_group
CC(C)(O)C,19,atom
c1cccc(N,15,ring
COc1cc2c(,131,ring
c(OC)c1,119,ring
c1ccc(OP(=O)(O)O)cc1,17,functional_group
CC(C)Nc1,128,ring
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O),271,functional_group
CO[C@H]2,260,ionic
2)S(=O)(=O),267,functional_group
cnc2,117,atom
[C@H](O)[C@@H](CO),308,ionic
)c[nH]c12,47,ionic
C[C@@H](O,473,ionic
[nH]2),455,ionic
(C(F)(F)F,715,atom
c2ncn(,171,atom
[C@@H]3O[C@H](C,152,ionic
c1c(C,81,ring
c3c(C,13,atom
)c(n3,25,atom
c2ccnc(N,86,atom
3CCN(C,45,atom
)cc1[N+](=O)[O-],51,functional_group
[C@](O)(,162,ionic
O[C@H](,261,ionic
C1(C)C,21,ring
CC(=O)C,29,functional_group
[C@H]3[C@@H]4CC,109,ionic
c4ccccc4,162,atom
)c12),13,ring
CCCC3,28,atom
c2cccc(Cl)c2Cl,111,atom
)c(N)n1,192,ring
CN=C(N,17,functional_group
sccc2,10,atom
)c2ncn(,29,atom
[C@H]3C=C,49,functional_group
ccccc12,400,ring
CC2(CCCC2),130,atom
CC(=O)N1,494,functional_group
C(=,80,functional_group
)CN1,67,atom
COc1cccc(C,47,ring
[C@@H](N)C,401,ionic
c2cnc[nH]2),12,ionic
COCCN1,141,atom
Cc1ncccc1,29,ring
OC[C@@H]1,59,ionic
cc(C)c1,69,ring
O)c(C,366,atom
(C)C)c1,252,ring
CC[C@]1(O)C,229,ionic
[C@@H]2CN(CC,186,ionic
[C@@],368,ionic
[C@]5,278,ionic
(CC)C=CCN,276,functional_group
6CC,228,atom
[C@]4,375,ionic
C1CCCC,114,ring
c2ccccc2c1,115,ring
CC1=N,293,functional_group
c2ccc(C)c(C)c2,54,atom
=N\,138,functional_group
Nc1cccc(,69,ring
[n+]([O-],33,ionic
[n+]1[O-],102,ionic
[I-].,40,ionic
)cn3,457,atom
=NC(=O),20,functional_group
S(=O)(=O)N2CC,29,functional_group
c3cc(O),17,atom
[C@@H]2C(=O)N,86,functional_group
occc2,8,atom
c2cccs,115,atom
2)s1,358,atom
Nc2ncnc3cc(,71,atom
OCCOC,225,atom
)c(OCC,119,atom
)cc23)c1,106,ring
B(O),137,atom
[C@@H](O)CC,569,ionic
[C@@]1,589,ionic
[C@]2(O)C,129,ionic
c2nccc3,24,atom
=CC(=O),220,functional_group
c1ccc(Cl)cc1),113,ring
[C@H](N)C(=O)O,450,functional_group
c3ccc(N,609,atom
c4ccc(C,106,atom
nc4,208,atom
)C(=O)O),246,functional_group
c1cnn2,89,ring
c(NC,156,atom
OCCN(C)C,180,atom
c2ccccc2)C1,168,ring
N2CC,163,atom
3CCCC3,365,atom
C2)cc1,190,ring
c2cc(NC(=O),193,functional_group
c3ccc(C)c(N,157,atom
c4nccc(,159,atom
c5cccnc5,163,atom
)n4,151,atom
)cc(C,239,atom
(F)(F)F)c2,675,atom
c1o,213,ring
cc2c1,300,ring
c1ccc(OCC,194,ring
CN(CCCC,149,atom
[C@@H](NC(=O)C,131,functional_group
n1c(,26,ring
c1nnc(C,32,ring
O=C1O,64,functional_group
[C@]2(CC,77,ionic
c3ccn(,13,atom
c4ccccc4F),23,atom
C(=O)N[C@H](C,155,functional_group
[C@@H](C)[C@H]1CC[C@H]2,103,ionic
C(=C/,373,functional_group
[C@@H](O)C[C@H](O),70,ionic
)CCC,236,atom
)C(C)(C)O,37,atom
Oc1cccc2,409,ring
cccs,426,atom
nc(C)c(,9,atom
c1O,242,ring
[Cl-].,260,ionic
[NH4,56,ionic
O=C(O,390,functional_group
)[C@@H](OC(=O),67,functional_group
)[C@H](OC(=O),25,functional_group
OC(=O)c1cccnc1,10,functional_group
CCCCn1,256,ring
c2cc(OC)ccc2,37,atom
c(F),43,atom
COC1,60,ring
=C(OC,45,functional_group
)C(=O)C,175,functional_group
(CC=C(C)C),19,functional_group
=C(C)C,271,functional_group
1=O,91,functional_group
CCCOC,17,atom
OP(=O)(O)O),1052,functional_group
[C@@H](O)C(O),119,ionic
CCC(O),259,atom
CCc1c[nH],31,ionic
c(N)nc2,49,atom
CC1CN,70,ring
[C@@H](CCC(=O)O),268,functional_group
C(=O)O)cc1,438,functional_group
NC(=O)c1ccccc1,48,functional_group
ccnc(N,98,atom
c2cccc(O)c2,205,atom
CCCl,248,atom
[N+](C)(C)C,225,ionic
CCC1(C,452,ring
CCOC(=O)c1c(N,12,functional_group
Nc1nc2,369,ring
nc(NC,11,atom
c4cccs4),14,atom
c1ncn2,263,ring
O=C1c2ccccc2C(=O),105,functional_group
CCCCCCCCCCCC,310,atom
nnc1,25,ring
CCCCCCCCc1ccc(,50,ring
CCC(N),103,atom
(CO)C,70,atom
CCCc1,157,ring
cc(CC(=O)O),20,functional_group
c(CC,336,atom
Cc1ccc(C(=O),157,functional_group
c2cc(O)c(O),94,atom
)c2)cc1,118,ring
cccc(C,304,atom
COc1c(N,63,ring
[C@@H]3CCCN,32,ionic
[C@@H]3C2,56,ionic
cn(C,198,atom
3CC3,109,atom
c3[nH],84,ionic
s1,417,atom
O=C1N(C,30,functional_group
c2cccc(C,360,atom
c3nc4ccccc4[nH]3,8,ionic
Cc1cccc(C,114,ring
c2nc3ccccc3[nH]2,78,ionic
CCc1cc2,129,ring
c(C)nnc1,26,ring
c1ncc2,9,ring
c(I,141,atom
OCC(C,102,atom
OC(=O)CCCCCCC,45,functional_group
CC(C)N(C,20,atom
c1ccccc1)C(=O),39,functional_group
c2c[nH]c3ccccc23,33,ionic
nnc(,17,atom
c3ccccc3)n2,9,atom
CCCCN1C,22,atom
COC(=O)CC,86,functional_group
CC(C)(C)c1nc(,284,ring
c2cccc(NS(=O)(=O),284,functional_group
c3c(F)cccc3,325,atom
F)c(,411,atom
ccnc(N)n,295,atom
CC[C@@H]1,316,ionic
[C@H],161,ionic
CCCCCCCCCCCCCCCC(=O),43,functional_group
O[C@H](COC(=O),45,functional_group
O[C@@H](CO),19,ionic
(F)(F)F)cc3,442,atom
n2c(SC,10,atom
c3cccc(F)c3,31,atom
F)cc,79,atom
COC(=O)C(,210,functional_group
CCn1,331,ring
c1oc2ccccc2,238,ring
c2n[nH]c(,18,ionic
c3ccc(Cl)cc3)c2,7,atom
[C@H](C[C@@H]1CCNC1=O),28,functional_group
NC(=O)[C@H](CC(C)C)NC(=O),57,functional_group
c1cco,41,ring
)C(C)C)C(C)C,36,atom
[18F,28,ionic
(=S),777,functional_group
C[n+]1,65,ionic
c2ncn,59,atom
OCCCC,255,atom
c3nnnn3,106,atom
[C@H]2[C@@H]3CC,328,ionic
c4cc(OC)ccc4,57,atom
[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C,37,ionic
[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,18,ionic
CCc1cccc2,97,ring
c3c([nH],89,ionic
c12)C,83,ring
(CC),221,atom
(CC(=O)O)OCC,83,functional_group
n2cn,112,atom
c3c2,346,atom
CC(CN,211,atom
(C)C)C,674,atom
cc(CN,86,atom
)nn1,56,ring
COc1ccc(CNC(=O)N,7,functional_group
c2ncc(,111,atom
)s2)cc1,24,ring
c1oc2ccccc2c1,130,ring
)c(O,252,atom
)c(I)c1,166,ring
Cc1cccc(C)c1,202,ring
NC(=O)C(C),28,functional_group
O=C1NC(=O),57,functional_group
[C@]2(N,5,ionic
O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O,29,ionic
c2no,164,atom
c3cc(O)ccc2,20,atom
)c(O)c1,104,ring
C4=CC(=O)C=C,290,functional_group
Clc1ccc2,154,ring
nc2c1,248,ring
OC[C@H]2,11,ionic
c2ccc(O)cc2)cc1,30,ring
ncnc2,34,atom
FC(F)(F)c1cccc(C,17,ring
=CCN(CC,17,functional_group
c4ccccc4)cc3,59,atom
CC[C@H](C)[C@H](NC(=O),111,functional_group
[C@@H](N)CCCNC(=N)N,45,functional_group
[Fe,531,metal
.[O-],104,ionic
N=C/,301,functional_group
CC(C)(C)c1ccc(CN,15,ring
CC(CCc1ccccc1)N,143,ring
Cc1[nH]cnc1,33,ionic
C[C@H](N)C,110,ionic
CCCCCCO,182,atom
COc1ccc2nc3cc(Cl)ccc3,15,ring
CCCN(CC,191,atom
Cl)CCCl,34,atom
c1ccc2ccccc2c1,136,ring
cn(,202,atom
[C@@H](O)[C@H]2,24,ionic
[C@@]3(O),406,ionic
[C@@H]4CCCN4C(=O),178,functional_group
c4ccccc4)N,196,atom
3C2=O),170,functional_group
C[C@@H]2,115,ionic
([O-])O,397,ionic
[C@@H]1CO,71,ionic
[C@@H]2[C@@H](O),231,ionic
N#C,381,atom
[Fe-2],80,metal
(C#N),235,atom
#N)(C#N,102,atom
Oc2ccc(NC(=O)N,145,functional_group
c3ccc(Cl,145,atom
(F)(F)F)c3,368,atom
O)c(,371,atom
Br)c,75,atom
[C@H](O)[C@@H](COP(=O)(O)O),135,functional_group
c1ccc(I,184,ring
)NC,116,atom
[P@,137,ionic
CN(c2ccccc2,14,atom
)S(=O)(=O)N,52,functional_group
C[C@H](O),398,ionic
CNCC(O),99,atom
OC(=O)C(C)(C)C,200,functional_group
[C@@H]1CCCN1C(=O)C,101,functional_group
c1ccccc1)NC(=O)[C@H](CC,617,functional_group
NC(=O)[C@H](CC,442,functional_group
NC(=O)[C@H](CO),139,functional_group
NC(=O)[C@H](CO)NC(=O)[C@H](C,144,functional_group
[C@@H](NC(=O)[C@H](CC,175,functional_group
(C)C)NC(=O)[C@H](C,111,functional_group
NC(=O)[C@H](C)NC(=O)[C@H](CC,248,functional_group
(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC,108,functional_group
[C@@H](NC(=O)[C@H](C)NC(=O),114,functional_group
[C@@H](C)O)C,214,ionic
)C(=O)N[C@@H](CC(C)C)C(=O)N,117,functional_group
C(=O)N1CCC[C@H]1,184,functional_group
CC(=O)N[C@@H](CO)C(=O)N[C@@H](CC,101,functional_group
[C@H]2C=C,55,functional_group
[C@@H](CO,54,ionic
c2ccc(OP(=O)(O)O)cc2,14,functional_group
c2nccs,27,atom
[C@]23C,25,ionic
[C@@]1(O)CC,250,ionic
[C@@](C),169,ionic
O1),64,atom
[C@H]2[C@@H]3,25,ionic
c1nnc(,142,ring
c3ccc(Cl)cc3CC,64,atom
c3cccnc3,194,atom
CCOc1ccc2,103,ring
nc(S,94,atom
sc2c1,92,ring
OC(CN,201,atom
[C@H]2N,182,ionic
[C@H]1OC,71,ionic
[C@](C)(O),122,ionic
)C(=O)OC(C)(C)C,9,functional_group
N[C@@H](CS,97,ionic
c2c(nc3,169,atom
ccccc13),212,ring
CCCC2,393,atom
C2=C(O),70,functional_group
(O)C(=O),266,functional_group
c1ccc(C(=O),119,functional_group
c2ccccc2)s1,105,atom
NC(=O)c1ccc(N,60,functional_group
c(OCC,69,atom
(C2CC,36,atom
2CCN=C2,13,functional_group
C(C)(C),539,atom
Cc2c(O)cc(O),13,atom
c1cc(O)c(O),65,ring
cc(O)c(O)c(O),21,atom
CN(C)Cc1ccc2,10,ring
[nH]c(N,8,ionic
)c(C(=O),84,functional_group
c3ccc(OC)cc3),8,atom
s2)cc1,72,ring
CCC(=N)N,10,functional_group
)C(=O)O)c1,63,functional_group
N[C@H](C,323,ionic
cccc(Cl)c1,107,ring
c1nc2,176,ring
ccc(C(=O),67,functional_group
c3ccc(F)cc3)cc2,24,atom
CC(C)c1cc(C,9,ring
)c(CC(=O)N,9,functional_group
)cccc2,91,atom
S(=O)(=O)CC,130,functional_group
[C@@H](OC(=O)C,87,functional_group
CC[C@@H](C),123,ionic
[C@]2(CC[C@@H]1C)C,25,ionic
[C@@H]1C[C@@H](C,55,ionic
)[C@@H](O,39,ionic
[C@H](C)O3),106,ionic
[C@@H]4[C@H](O)C,25,ionic
[C@@H](C(=O),60,functional_group
[C@]34,70,ionic
[C@H](O[C@H]2,213,ionic
[C@@H](O[C@@H]3,59,ionic
[C@@H]4C,141,ionic
5)O,25,atom
C=C(C),317,functional_group
[C@H]5OC,32,ionic
[C@@]45,41,ionic
[C@@H]2OC,25,ionic
O[C@@H](C),196,ionic
[C@@H](O)[C@@H](O)[C@@H]1O,102,ionic
Brc1cccc(,24,ring
c3ccc4c(c3,186,atom
n2)c1,124,ring
[C@H](C)C(=O)O),100,functional_group
ccc2c1,368,ring
CCc1ccc(,315,ring
NC(=S)N,82,functional_group
)cn2,235,atom
)c1F,185,ring
CC(C)[C@H](C,25,ionic
CCN1C(=O),142,functional_group
COc1cc2c(N,68,ring
F)ncn,118,atom
c2cc1,125,ring
OCC1,112,ring
)n[nH]1,44,ionic
CCC1=C(C,35,functional_group
)c2cc3,52,atom
[n-],234,ionic
c(cc4,21,atom
)c(C)c5,35,atom
=C4C,70,functional_group
)c(C)c3,82,atom
[Cl-].[Cl-].,119,ionic
)n(C,196,atom
c2ccccc2C#N,126,atom
Nc1cccc(C,54,ring
N=C(N)NC(=O),119,functional_group
Cc1c(Cl)cccc1,149,ring
Cc1c(C(=O)N,76,functional_group
)cccc1,125,ring
c1ccc(OC(F)(F)F)cc,100,ring
NC(=O)NC(=O),10,functional_group
CC(=O)c1ccc(,163,functional_group
c2cc(NS(=O)(=O),16,functional_group
c3ccc(C)cc3C,10,atom
)c(C(=O)O),150,functional_group
S)N,63,atom
Cc1nc(C,119,ring
OC(c1ccccc1),216,ring
c(Cl)n,112,atom
Nc1cc(N,57,ring
)ncn1,30,ring
CCCN3CC,33,atom
c5ccccc45),10,atom
(C(=O)OC,164,functional_group
)[C@@H]3,29,ionic
[C@@]3(C)[C@@H](CC,122,ionic
[C@@]34CC,94,ionic
F)c(N,168,atom
4CC4)c3c2,115,atom
F)C,494,atom
Cc2c(,59,atom
F)c(F)c(F)c(F)c2,11,atom
CCn1ncc2,17,ring
C3CCOCC,30,atom
)c(C(=O)N,476,functional_group
Cc3ccccc3,149,atom
)cnc2,80,atom
CC2(CC,87,atom
(F)(F)c2,141,atom
c4ccc5,285,atom
[C@H]7,87,ionic
CC[C@H](C,126,ionic
)N6,87,atom
3)[nH],95,ionic
COc1cc(C(=O)N,70,functional_group
S(=O)(=O)c2ccccc2,57,functional_group
C)ccc1,48,ring
(C)c2ccc(,29,atom
NC(=O)OC,77,functional_group
CCOCC,320,atom
c4ccc(O,15,atom
c1cnc2nc(N)nc(N)c2n1,132,ring
[C@H](O)C=C,60,functional_group
[C@@H](O)C[C@@H](O)CC(=O)O),84,functional_group
c1ccc(O)c(,68,ring
CCCCN(CCCC,44,atom
c1cc2,426,ring
c(Cl)cc(Cl)cc2,52,atom
ccc12,551,ring
CCNC1,98,ring
C2CCC(C,80,atom
O=C(,450,functional_group
)c1ccc2,484,ring
2C(=O)O,106,functional_group
[C@@H]2CCCC[C@@H]2,150,ionic
C(=O)OC1,7,functional_group
Cl)c2,67,atom
cc(Br)ccc2,81,atom
[C@@H]3N,20,ionic
[C@H](CO)[C@@H](O),34,ionic
OC[C@H]2O,165,ionic
ccc(O),76,atom
nc3,158,atom
[C@H](O)[C@@H]2,165,ionic
S(=O)(=O)O,122,functional_group
P1,123,atom
(CCCl)CCCl,121,atom
CCCO,211,atom
Cc1cnc(,107,ring
)s1,391,atom
O[C@H]2C,127,ionic
CN(C)c1ccc(C,42,ring
CCCCCCCCCCCCCCCC(=O)N,59,functional_group
CC(=O)N[C@@H](CC,114,functional_group
C(=O)N[C@@H](CCCN=C(N)N,13,functional_group
Nc1ncnc2c1,51,ring
Br)n2,15,atom
oc(C,189,atom
c34,27,atom
s1)N,33,atom
n2c(,33,atom
Cc1n[nH],57,ionic
cc(OC[C@@H](N)C,38,ionic
c4c[nH]c5ccccc45,14,ionic
C[C@]1,87,ionic
OC(O),103,atom
[C@@H](O)[C@@H](O),158,ionic
CC[C@@H](N,33,ionic
Cc1ccc(NS(=O)(=O),26,functional_group
(C#N,86,atom
1Cc2ccccc2,119,atom
CC(=O)OCC(=O),222,functional_group
[C@]4(C)[C@H]3,113,ionic
(O)C(O),489,atom
=C3C(=O),207,functional_group
c4c(O)cccc4,131,atom
[C@@H]2CCCN2C(=O),59,functional_group
CCCC(=O)OC,63,functional_group
CCN(CC)C(=O),228,functional_group
CC(Cc1ccccc1)N,91,ring
[C@]12O[C@H]1,17,ionic
[C@@]13,41,ionic
CCC4,62,atom
OC4=O),213,functional_group
C[C@@H]1O,35,ionic
Oc2ccccc2)c1,97,ring
Nc1cc(,109,ring
CCOc1ccc2ccccc2c1,87,ring
#CCC,196,atom
)C(=O)NC(=O)N,208,functional_group
(C)C1=O,265,functional_group
OCC(=O)O,28,functional_group
c1ccccc1)C(=O)O)C(=O)N,145,functional_group
CC(=O)N1C,76,functional_group
)C[C@H]1,101,ionic
[C@@H]3O[C@H](CO)[C@@H](O),48,ionic
NC(=O)c1cccnc1,80,functional_group
[C@H](O)[C@@H](O)[C@H](O),151,ionic
CO),76,atom
n2CC,13,atom
[C@H](N=[N+]=[N-])[C@@H](C,30,functional_group
P(=O)([O-])O,48,functional_group
P(=O)([O-])OC,18,functional_group
NC(=O)C1=C,20,functional_group
O)[C@@H](O),428,ionic
COC(=O)N1CC,13,functional_group
[C@@H]2[C@H]1,19,ionic
[C@@]2(O)C,20,ionic
[N+]1,103,ionic
([C@H]2C,76,ionic
6CCOCC,57,atom
6)C,196,atom
[C@]5(C)[C@H]4CC,65,ionic
[C@]3(C)[C@H]2,65,ionic
)sc1,66,ring
C(=O)O)C(=O),21,functional_group
c2c(n,83,atom
4CCC,136,atom
5CCCCC5,75,atom
)CC4,214,atom
c2c[nH],324,ionic
c3ncc(,160,atom
c4ccccc4)cc2,14,atom
OCC(CO),4,atom
(CO)CO,52,atom
[C@H]([C@@H]2,13,ionic
NC(=O)[C@H](CO)NC(=O),44,functional_group
[C@@H](N)CCCN,44,ionic
)CN,92,atom
[C@H](O)[C@H]1O,113,ionic
Cc1c(CC,83,ring
c2n3,16,atom
c(C)c4,97,atom
c(C)c(,66,atom
NC(=O)[C@@H](C,55,functional_group
NC[C@@H]1O,108,ionic
[C@@H](CO)O[C@@H](O,192,ionic
[C@@H](O)[C@H](N)C[C@H](N),117,ionic
[C@H]3N,108,ionic
[C@H](N)[C@@H](O)[C@@H]1O,179,ionic
COc5ccccc5,81,atom
c(ncn2,89,atom
Nc1nn,52,ring
c1c[nH]c2ccccc12)C(=O),10,functional_group
c1ccc(O),80,ring
c2ncccc12,28,ring
N(CC,317,atom
CCCN2,21,atom
NC(=O)[C@H](N,132,functional_group
)C3,200,atom
CCCCc1ncc(,45,ring
2)C(=O)O),71,functional_group
C(=C)C,152,functional_group
(S,198,atom
C(=O)[O-],182,functional_group
C(=O)N3C,64,functional_group
c4nnnn4C,19,atom
)CS,207,atom
)c2ccc(O)cc2,63,atom
c1ccccc1)C(=O)N[C@@H](C,27,functional_group
C=C(N,41,functional_group
NC(=O)OCC,101,functional_group
(COC,101,atom
C(=S)N,256,functional_group
c(C#N,89,atom
)C(=O)C2,263,functional_group
3CCC3,28,atom
)cc1F,404,ring
O[C@H](C),57,ionic
5C(=O)OC,15,functional_group
c4c3,110,atom
NC(=O)NC3=O),15,functional_group
cc(Cl)c(Cl,76,atom
c2c(Cl)cccc2Cl,138,atom
[C@@]4(O),196,ionic
c2s,94,atom
c3cc(O)ccc3c2,11,atom
(CCC(=O)N,87,functional_group
c5c(O),21,atom
ccc(C(=O)O),63,functional_group
[C@H](C[C@@H]1,22,ionic
c2ccccc2n1,431,ring
C1CCN(CC,228,ring
ccc(F)cc2,235,atom
n3cncn3,55,atom
COC(=O)[C@H](C,59,functional_group
c1ccc(O)cc1)NC(=O)C,30,functional_group
NC(=O)CNC(=O)[C@H](CC,37,functional_group
(C)C)NC(=O)[C@@H](N)C,8,functional_group
c2ccc(OC(F)(F)F)cc2,11,atom
CCN(CC)C(=O)C1,165,functional_group
[NH2+],342,ionic
C(=C2,41,functional_group
c2c(O)ccc(O)c2,29,atom
c2c(N,122,atom
c1n,465,ring
[nH]c(nc3,7,ionic
nc([nH],7,ionic
c4nc(,7,atom
c2cccc(F)c2,140,atom
CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC,44,functional_group
C(=O)O)NC(=O)[C@H](C,57,functional_group
(=O)O)NC(=O)CNC(=O)[C@H](CC,44,functional_group
NC(=O)CNC(=O)C,53,functional_group
NC(=O)CNC(=O),81,functional_group
[C@@H]1CCCN1C(=O)[C@H](CC,124,functional_group
CNC(=N)N)NC(=O),68,functional_group
C(=O)N[C@@H](CCC(=O)O),79,functional_group
C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C,66,functional_group
)C(=O)N[C@@H](CC(C)C)C(=O)O,44,functional_group
CC(=O)CC,118,functional_group
[C@]34C)[C@@H]1CC[C@@H]2,9,ionic
C[C@@H](NC(=O),25,functional_group
c(Cl)ccc(,158,atom
CCc1nn(C,10,ring
2CCCC2,371,atom
CCn1c(,26,ring
c3cccs3)n,28,atom
c1ccc2ccccc2c1)C(=O)N,58,functional_group
1)C(=O)N[C@H](C,73,functional_group
)C(=O)N[C@@H](CO)C(=O)N[C@@H](C,37,functional_group
)C(=O)N[C@H](CCCCN,5,functional_group
C(=O)N[C@@H](CC(C)C,31,functional_group
(C)C)C(=O)N1CCC[C@H]1,37,functional_group
[C@@H](c2ccc(Cl)c(Cl)c2,196,ionic
CC(NC(=O)C,14,functional_group
c1c[nH]c2ccccc12),36,ionic
)C(=O)NC(CC,14,functional_group
CN=C(N)N,14,functional_group
c2ccc3c(c2)n,14,atom
cccc(N,26,atom
)c3n2,81,atom
c2ccc(Cl)cc,168,atom
2C(,133,atom
NS(=O)(=O)c1ccc(NC(=O),20,functional_group
c5ccc(OCCN,14,atom
6CCOCC6,14,atom
(Br),21,atom
Nc1ccccc1,67,ring
O=C(NC1,116,functional_group
OC1(CN,9,ring
c4cccc(,50,atom
[C@@H]5CC,51,ionic
OC5,34,atom
)c34,9,atom
)CCOCC1,21,ring
O.O.O.O.,164,atom
T,93,atom
O=S(=O)(N,140,functional_group
cc(Cl)c(,83,atom
c2cnc3ccccc3c2,41,atom
CCNC(=O),193,functional_group
CCOc1cc2ncnc(N,8,ring
c4cs,14,atom
c(CO),20,atom
)c2cc1OCC,8,ring
ccn(,409,atom
O3),41,atom
nc2ccccc1,10,ring
O[C@H](CO)[C@H](O),60,ionic
(O)CCCCC,62,atom
NC(=O)CCC,47,functional_group
[N+](=O)[O-])cc1,130,functional_group
nc[nH],43,ionic
c1ccc(Br)cc1,300,ring
Oc1ccccc1,150,ring
COCCOCC,24,atom
[C@H](O)[C@@H]3,142,ionic
CCOc1nc2,107,ring
c3o,64,atom
c(C=O),107,functional_group
CCCCN(C,89,atom
OS(=O)(=O)O),295,functional_group
[C@@H]1CCC2=O,193,functional_group
OC1=C,13,functional_group
NC1=,32,functional_group
C2C3,5,atom
OC4,20,atom
(O)C2,37,atom
[C@@H]4O),37,ionic
1)N2CC,80,atom
C1CCC,62,ring
c2ccccc2Cl,167,atom
c2cnc(N,27,atom
c3c(F)cccc3F),57,atom
CCN(C)CC2,224,atom
)ncc1,209,ring
N(C)C(=O),335,functional_group
#C,100,atom
CCCN(C,23,atom
c2ccccc2CC,169,atom
)nc(N,285,atom
[C@@H](O)CN,129,ionic
CSCC,107,atom
)C(=O)N1CC,14,functional_group
CCOP(=O)(OCC,53,functional_group
